Depth_mean,Depth_min,Depth_max,Qf,valid,slope,phasedetect,Lat,Lon,Sog,Cog,Roll,Pitch,Heave,Head
-123.45,-122.69,-125.08,2.9105088901519776,100.0,0.38,87.5,46.13053525,-3.2659727,6.2591792710662455,337.7,1.24,-0.25,-0.26,338.09
-123.18,-122.35,-124.79,2.915630532503128,100.0,0.35,87.0,46.1305889,-3.2660007,6.2203023811838465,338.07,0.1,0.03,-0.12,337.92
-123.28,-122.39,-125.02,2.905027800798416,100.0,0.34,88.5,46.13064285,-3.2660324,6.2203023811838465,338.13,-0.47,0.17,-0.2,337.81
-123.84,-122.82,-125.25,2.935741413831711,98.5,0.35,88.5,46.13067005,-3.2660471,6.2203023811838465,338.1,-0.73,0.49,-0.85,338.02
-124.37,-123.33,-126.4,2.933648627996445,100.0,0.35,89.5,46.1307239,-3.2660728,6.2203023811838465,338.34,-0.06,0.37,-0.95,338.16
-123.55,-122.67,-125.64,2.913312721848488,100.0,0.44,87.5,46.13077695,-3.2660953,6.200863936242647,338.95,-0.17,-0.59,0.24,337.86
-122.68,-121.9,-124.23,2.9160331535339354,100.0,0.4,88.5,46.1308296,-3.2661235,6.1814254913014475,339.33,-0.64,-0.46,0.56,337.87
-122.64,-121.89,-124.44,2.916222685575485,100.0,0.33,87.0,46.13088275,-3.2661579,6.1814254913014475,339.06,-1.16,0.21,0.58,337.9
-122.18,-121.33,-123.8,2.919690554738045,100.0,0.31,88.0,46.13090935,-3.2661761,6.1814254913014475,338.81,-0.35,-0.42,0.98,337.41
-122.32,-121.47,-124.42,2.9326001381874085,100.0,0.38,87.5,46.13096365,-3.2662148,6.200863936242647,338.26,0.42,0.65,0.12,337.55
-123.38,-122.71,-125.18,2.9307208275794983,100.0,0.32,86.5,46.13101855,-3.2662508,6.2591792710662455,337.7,0.62,0.6,-0.5,338.18
-123.39,-122.71,-125.1,2.921441113948822,100.0,0.32,88.0,46.1310978,-3.2662952,6.2591792710662455,337.78,0.44,-0.02,-0.27,338.06
-123.2,-122.33,-125.23,2.9183003556728364,100.0,0.36,86.5,46.1311238,-3.2663095,6.239740826125046,337.84,0.19,-0.14,-0.27,337.96
-123.6,-122.97,-125.31,2.906832193732262,100.0,0.29,87.5,46.131177,-3.2663368,6.2203023811838465,338.04,-0.1,0.15,-0.69,338.18
-123.83,-123.16,-125.63,2.917665804028511,100.0,0.32,88.0,46.13120385,-3.2663491,6.200863936242647,338.22,-0.19,-0.03,-0.57,338.07
-123.43,-122.63,-125.31,2.901246811747551,100.0,0.39,88.5,46.1312578,-3.2663744,6.200863936242647,338.72,-0.75,-0.01,-0.14,337.87
-123.2,-122.45,-124.73,2.912005769610405,100.0,0.3,88.0,46.13131205,-3.2664021,6.1814254913014475,339.02,-1.0,0.22,-0.03,337.96
-122.74,-121.89,-124.16,2.9161697494983674,100.0,0.28,87.0,46.1313912,-3.2664519,6.200863936242647,338.84,-0.82,-0.13,0.65,337.96
-122.43,-121.68,-124.0,2.9277834630012514,100.0,0.31,87.5,46.1314175,-3.2664695,6.200863936242647,338.6,-0.82,-0.13,0.65,337.96
-122.67,-121.88,-124.06,2.9137612020969392,100.0,0.3,87.0,46.13147145,-3.2665019,6.200863936242647,338.3,0.14,-0.03,0.36,337.94
-122.54,-121.79,-124.32,2.917843370437622,100.0,0.32,88.0,46.1314985,-3.2665189,6.200863936242647,338.29,0.44,0.25,0.43,337.8
-122.54,-121.81,-124.34,2.924257390499115,100.0,0.34,88.0,46.1315515,-3.2665561,6.2203023811838465,337.9,0.04,0.12,0.25,337.82
-123.28,-122.58,-124.39,2.9221561151742934,100.0,0.26,88.5,46.13160465,-3.2665892,6.239740826125046,337.5,0.23,0.34,-0.64,337.96
-123.84,-123.09,-125.36,2.9358737778663637,100.0,0.31,88.0,46.13165885,-3.2666157,6.239740826125046,337.72,0.37,0.29,-0.82,338.27
-123.61,-122.91,-125.69,2.9165395712852478,100.0,0.36,88.0,46.13168565,-3.2666282,6.2203023811838465,337.99,0.24,-0.03,-0.57,338.13
-123.45,-122.2,-125.22,2.9214615178108216,100.0,0.32,89.0,46.13173895,-3.2666539,6.200863936242647,338.46,-0.39,-0.01,-0.4,337.96
